year;quater;SFSI;BNP;CPI;DINT
1995;4;-0.725345719588824;3.2764586155257;0.366819723099329;-0.33666666666667
1996;1;-0.512091888156534;2.67317756507837;0.339452700519565;-1.11566688156447
1996;2;-0.647704761543087;1.3633909287257;0.0381302800817297;-1.59533290353772
1996;3;-0.394077631927014;1.34678909864748;-0.130813600709471;-0.92900021489781
1996;4;-0.644599123221258;0.99758187151511;-0.213838573916812;-0.82666666666666
1997;1;-0.757437315581061;1.18433286203918;0.176711666130235;-0.2964902477821
1997;2;-0.530725718087511;3.29729324810227;0.377799221367199;-0.0236861711024701
1997;3;0.101789286791757;3.57003325680633;0.493812408321757;0.12684308555123
1997;4;0.205310564186072;4.95975997224542;0.239336673523996;0.206666666666671
1998;1;0.269493756170548;4.44808729799494;-0.742160525581142;0.0544637013946598
1998;2;0.593515354414755;4.59904409286186;-0.0645375487352656;0.0444059305440199
1998;3;-0.043140501560285;4.37763171750266;-0.301358540261683;-0.25553629860535
1998;4;-0.574204654593123;3.50867107907051;0.0493743010625488;-0.370000000000001
1999;1;-0.401324121344616;4.25449401427102;0.0180061040993164;-0.57107856467328
1999;2;0.154585138262857;3.53636444171687;0.172049102733822;-0.3445095373201
1999;3;0.188747159802982;3.77248376571549;0.474252023295747;0.14225476866005
1999;4;-0.431345291788968;4.50740526635987;0.199257212247888;0.32
2000;1;-0.290556354532699;4.03705890503468;0.317009279976884;0.4339015010953
2000;2;-0.00794326724621767;5.95221118445282;0.20649747973293;0.25886366447606
2000;3;-0.347493057099572;5.97620495049261;0.364664022428273;-0.0427651655713595
2000;4;0.370944608016977;3.6975307523687;0.596517851947357;0.0299999999999994
2001;1;0.355416416407829;3.39494915075277;0.295189884445124;-0.00345794882985917
2001;2;-0.174612523851066;0.865847478356742;1.38634872990689;0.0835825643263899
2001;3;-0.537972207505113;0.460885145656661;0.498125282288156;0.0998753845034699
2001;4;-0.574204654593123;1.61809923130678;0.363165532986406;-0.495
2002;1;-0.535901781957226;1.09221005432039;0.353343207934656;0.26517641888457
2002;2;-0.0421052887863419;2.68791315133885;0.723807112858194;0.23298049556419
2002;3;-0.618718803872679;2.90358301218997;0.414533726843616;0.0035097522179095
2002;4;-0.565922952401578;2.17973095486153;0.433948554972486;-0.323333333333339
2003;1;-0.586627207880441;3.54978643197334;1.3795559190075;-0.39943183223803
2003;2;-0.734662634554312;1.31584002458796;-0.346938210828993;-0.2778030021906
2003;3;-0.510021462608648;2.20306922262984;-0.0996397878804123;-0.5060984989047
2003;4;-0.679796357535325;2.67938365314617;0.0882078016646937;0.0166666666666697
2004;1;-0.663232953152234;3.37322284732421;0.457124155282481;-0.26622908186384
