"","DSFSI","DBNP","CPI","INT"
"1",-1.47,-0.5065536223076,0.366819723099329,8.77333333333333
"2",2.06,-0.60328105044733,0.339452700519565,7.65766645176886
"3",-1.31,-1.30978663635267,0.0381302800817297,6.06233354823114
"4",2.45,-0.01660183007822,-0.130813600709471,5.13333333333333
"5",-2.42,-0.34920722713237,-0.213838573916812,4.30666666666667
"6",-1.09,0.18675099052407,0.176711666130235,4.01017641888457
"7",2.19,2.11296038606309,0.377799221367199,3.9864902477821
"8",6.11,0.27274000870406,0.493812408321757,4.11333333333333
"9",1,1.38972671543909,0.239336673523996,4.32
"10",0.620000000000001,-0.51167267425048,-0.742160525581142,4.37446370139466
"11",3.13,0.15095679486692,-0.0645375487352656,4.41886963193868
"12",-6.15,-0.2214123753592,-0.301358540261683,4.16333333333333
"13",-5.13,-0.86896063843215,0.0493743010625488,3.79333333333333
"14",1.67,0.74582293520051,0.0180061040993164,3.22225476866005
"15",5.37,-0.71812957255415,0.172049102733822,2.87774523133995
"16",0.33,0.23611932399862,0.474252023295747,3.02
"17",-5.99,0.73492150064438,0.199257212247888,3.34
"18",1.36,-0.470346361325189,0.317009279976884,3.7739015010953
"19",2.73,1.91515227941814,0.20649747973293,4.03276516557136
"20",-3.28,0.0239937660397898,0.364664022428273,3.99
"21",6.94,-2.27867419812391,0.596517851947357,4.02
"22",-0.15,-0.30258160161593,0.295189884445124,4.01654205117014
"23",-5.12,-2.52910167239603,1.38634872990689,4.10012461549653
"24",-3.51,-0.404962332700081,0.498125282288156,4.2
"25",-0.35,1.15721408565012,0.363165532986406,3.705
"26",0.37,-0.52588917698639,0.353343207934656,3.97017641888457
"27",4.77,1.59570309701846,0.723807112858194,4.20315691444876
"28",-5.57,0.21566986085112,0.414533726843616,4.20666666666667
"29",0.51,-0.72385205732844,0.433948554972486,3.88333333333333
"30",-0.2,1.37005547711181,1.3795559190075,3.4839015010953
"31",-1.43,-2.23394640738538,-0.346938210828993,3.2060984989047
"32",2.17,0.88722919804188,-0.0996397878804123,2.7
"33",-1.64,0.47631443051633,0.0882078016646937,2.71666666666667
"34",0.16,0.69383919417804,0.457124155282481,2.45043758480283
"35",0.0799999999999998,1.02836487382306,0.00565875598892479,2.01956241519717
"36",1.27,-0.69260040316483,0.292469506773478,1.99333333333333
"37",-1.34,0.24066081321296,0.0416481448094394,1.99333333333333
"38",2.8,-1.48799649216757,0.0109758759287041,2.05017641888457
"39",2.06,0.31380859639649,0.0208089632003965,1.7764902477821
"40",-2.78,0.39118135047167,0.247382701445066,1.47666666666667
"41",-2.73,-0.16649340707674,0.36197494368121,1.56333333333333
"42",0.69,1.16894751236164,-0.0176993549585558,1.83723483442864
"43",-0.42,0.9583471980651,0.741510234871162,2.19276516557136
"44",1.01,0.000656882813349746,0.438608943495888,2.41666666666667
"45",-1.55,-0.0159735728206893,0.313873991519235,2.88
"46",1.23,-0.598480468785411,0.398290138585278,3.25835923502735
"47",0.23,-1.15931196999258,0.608136306124182,3.39164076497265
"48",-0.00999999999999979,-0.41106798811477,0.567548747906187,3.57666666666667
"49",-0.38,0.49663211205576,1.53832337284801,3.98333333333333
"50",1.91,-1.82004356554318,0.965444498637905,4.25684308555124
"51",7.4,-0.51982313265387,1.1583812353269,4.06982358111543
"52",7.48,-1.3113182433062,0.837997804504445,4.41
"53",-0.290000000000003,-4.62222660554151,-0.512114094485187,2.88333333333333
"54",-2.95,-0.65752900541862,-0.88865609286868,0.834463701394661
"55",28.43,0.0902839862264795,-0.200833670345347,0.418869631938673
"56",-3.76,0.44811357098857,-0.0512496898547946,0.163333333333333
"57",-5.85,3.93601517499,0.461348318564363,0.176666666666667
"58",0.939999999999998,4.17871929716267,0.200238639606854,0.258921435326717
"59",-8.72,2.06768670405395,0.0716842867978921,0.23774523133995
"60",-3.07,1.32934983819362,0.451764422835249,0.453333333333333
"61",-6.32,1.21703029897179,0.978912872011109,1.06666666666667
"62",1.69,-2.42089675984414,1.13014237957866,1.58723483442864
"63",-2.89,-1.8155684990773,0.711018279814026,1.92276516557136
"64",-2.13,0.11586211798282,0.252894371042664,1.69666666666667
"65",-1.03,-3.08931860391844,0.502691048155558,1.42333333333333
"66",17.85,-0.162755011543072,0.532650297461185,1.55169256836069
"67",10.14,-0.199124275737447,0.0713286539061966,1.34830743163931
"68",-7.97,-1.42749701407025,-0.1133200852581,1.09666666666667
"69",-17.02,0.689139398851999,0.0518556061660119,1.01666666666667
"70",10.43,1.2071903228623,-0.090823305939976,1.04017641888457
"71",-19.15,-0.224816545212758,-0.151809241005497,0.859823581115428
"72",-3.03,0.581242092055842,0.266578430546997,0.916666666666666
"73",-0.7,1.44386652337864,-0.166541335491853,0.886666666666667
"74",1.55,-0.58058457001615,-0.268300170427593,0.660568167761966
"75",-1.8,0.93207725948606,0.201794740688145,0.716098498904701
"76",-1.21,0.27778375390931,-0.16409587033797,0.223333333333333
"77",-1.12,0.0817358570164299,-0.219606026775026,0.0833333333333333
"78",0.35,0.5800610912417,-0.0164352103793927,0.0262808852518767
"79",0.17,0.18950623045539,-0.00389160114307596,-0.316280885251876
"80",3.96,0.68483653440753,-0.0844796640228139,-0.473333333333333
"81",-1.3,-0.00892257547827935,0.231025397236519,-0.393333333333333
"82",6.18,-1.5657688893198,0.810302861402041,-0.446490247782095
"83",-3.66,-0.92358430632376,0.168490743723109,-0.676843085551238
"84",-2.12,-1.10081119532878,0.143109775007576,-0.72
"85",-1.78,0.15900849825617,0.539753222342785,-0.776666666666667
