SFSI	BNP	CPI	DINT	date	year	quater
1.37	3.2764586155257	0.366819723099329	-0.33666666666667	1995.75	1995	4
3.43	2.67317756507837	0.339452700519565	-1.11566688156447	1996	1996	1
2.12	1.3633909287257	0.0381302800817297	-1.59533290353772	1996.25	1996	2
4.57	1.34678909864748	-0.130813600709471	-0.92900021489781	1996.5	1996	3
2.15	0.99758187151511	-0.213838573916812	-0.82666666666666	1996.75	1996	4
1.06	1.18433286203918	0.176711666130235	-0.2964902477821	1997	1997	1
3.25	3.29729324810227	0.377799221367199	-0.0236861711024701	1997.25	1997	2
9.36	3.57003325680633	0.493812408321757	0.12684308555123	1997.5	1997	3
10.36	4.95975997224542	0.239336673523996	0.206666666666671	1997.75	1997	4
10.98	4.44808729799494	-0.742160525581142	0.0544637013946598	1998	1998	1
14.11	4.59904409286186	-0.0645375487352656	0.0444059305440199	1998.25	1998	2
7.96	4.37763171750266	-0.301358540261683	-0.25553629860535	1998.5	1998	3
2.83	3.50867107907051	0.0493743010625488	-0.370000000000001	1998.75	1998	4
4.5	4.25449401427102	0.0180061040993164	-0.57107856467328	1999	1999	1
9.87	3.53636444171687	0.172049102733822	-0.3445095373201	1999.25	1999	2
10.2	3.77248376571549	0.474252023295747	0.14225476866005	1999.5	1999	3
4.21	4.50740526635987	0.199257212247888	0.32	1999.75	1999	4
5.57	4.03705890503468	0.317009279976884	0.4339015010953	2000	2000	1
8.3	5.95221118445282	0.20649747973293	0.25886366447606	2000.25	2000	2
5.02	5.97620495049261	0.364664022428273	-0.0427651655713595	2000.5	2000	3
11.96	3.6975307523687	0.596517851947357	0.0299999999999994	2000.75	2000	4
11.81	3.39494915075277	0.295189884445124	-0.00345794882985917	2001	2001	1
6.69	0.865847478356742	1.38634872990689	0.0835825643263899	2001.25	2001	2
3.18	0.460885145656661	0.498125282288156	0.0998753845034699	2001.5	2001	3
2.83	1.61809923130678	0.363165532986406	-0.495	2001.75	2001	4
3.2	1.09221005432039	0.353343207934656	0.26517641888457	2002	2002	1
7.97	2.68791315133885	0.723807112858194	0.23298049556419	2002.25	2002	2
2.4	2.90358301218997	0.414533726843616	0.0035097522179095	2002.5	2002	3
2.91	2.17973095486153	0.433948554972486	-0.323333333333339	2002.75	2002	4
2.71	3.54978643197334	1.3795559190075	-0.39943183223803	2003	2003	1
1.28	1.31584002458796	-0.346938210828993	-0.2778030021906	2003.25	2003	2
3.45	2.20306922262984	-0.0996397878804123	-0.5060984989047	2003.5	2003	3
1.81	2.67938365314617	0.0882078016646937	0.0166666666666697	2003.75	2003	4
1.97	3.37322284732421	0.457124155282481	-0.26622908186384	2004	2004	1
2.05	4.40158772114727	0.00565875598892479	-0.43087516960566	2004.25	2004	2
3.32	3.70898731798244	0.292469506773478	-0.02622908186384	2004.5	2004	3
1.98	3.9496481311954	0.0416481448094394	0	2004.75	2004	4
4.78	2.46165163902783	0.0109758759287041	0.0568430855512401	2005	2005	1
6.84	2.77546023542432	0.0208089632003965	-0.27368617110247	2005.25	2005	2
4.06	3.16664158589599	0.247382701445066	-0.29982358111543	2005.5	2005	3
1.33	3.00014817881925	0.36197494368121	0.08666666666666	2005.75	2005	4
2.02	4.16909569118089	-0.0176993549585558	0.27390150109531	2006	2006	1
1.6	5.12744288924599	0.741510234871162	0.35553033114272	2006.25	2006	2
2.61	5.12809977205934	0.438608943495888	0.22390150109531	2006.5	2006	3
1.06	5.11212619923865	0.313873991519235	0.46333333333333	2006.75	2006	4
2.29	4.51364573045324	0.398290138585278	0.37835923502735	2007	2007	1
2.52	3.35433376046066	0.608136306124182	0.1332815299453	2007.25	2007	2
2.51	2.94326577234589	0.567548747906187	0.18502590169402	2007.5	2007	3
2.13	3.43989788440165	1.53832337284801	0.40666666666666	2007.75	2007	4
4.04	1.61985431885847	0.965444498637905	0.27350975221791	2008	2008	1
11.44	1.1000311862046	1.1583812353269	-0.18701950443581	2008.25	2008	2
18.92	-0.211287057101605	0.837997804504445	0.34017641888457	2008.5	2008	3
18.63	-4.83351366264311	-0.512114094485187	-1.52666666666667	2008.75	2008	4
15.68	-5.49104266806173	-0.88865609286868	-2.04886963193867	2009	2009	1
44.11	-5.40075868183525	-0.200833670345347	-0.415594069455988	2009.25	2009	2
40.35	-4.95264511084668	-0.0512496898547946	-0.25553629860534	2009.5	2009	3
34.5	-1.01662993585668	0.461348318564363	0.013333333333334	2009.75	2009	4
35.44	3.16208936130599	0.200238639606854	0.08225476866005	2010	2010	1
26.72	5.22977606535994	0.0716842867978921	-0.021176203986767	2010.25	2010	2
23.65	6.55912590355356	0.451764422835249	0.215588101993383	2010.5	2010	3
17.33	7.77615620252535	0.978912872011109	0.613333333333337	2010.75	2010	4
19.02	5.35525944268121	1.13014237957866	0.52056816776197	2011	2011	1
16.13	3.53969094360391	0.711018279814026	0.33553033114272	2011.25	2011	2
14	3.65555306158673	0.252894371042664	-0.22609849890469	2011.5	2011	3
12.97	0.566234457668295	0.502691048155558	-0.27333333333334	2011.75	2011	4
